publishTime,startTime,settlementDate,settlementPeriod,generation
2023-12-31T22:30:00Z,2024-01-01T00:00:00Z,2024-01-01,1,11453
2023-12-31T22:30:00Z,2024-01-01T01:00:00Z,2024-01-01,3,11838
2023-12-31T22:30:00Z,2024-01-01T02:00:00Z,2024-01-01,5,12090
2023-12-31T22:30:00Z,2024-01-01T03:00:00Z,2024-01-01,7,12428
2023-12-31T22:30:00Z,2024-01-01T04:00:00Z,2024-01-01,9,12775
2023-12-31T22:30:00Z,2024-01-01T05:00:00Z,2024-01-01,11,12877
2023-12-31T22:30:00Z,2024-01-01T06:00:00Z,2024-01-01,13,12921
2023-12-31T22:30:00Z,2024-01-01T07:00:00Z,2024-01-01,15,12969
2023-12-31T22:30:00Z,2024-01-01T08:00:00Z,2024-01-01,17,12833
2023-12-31T22:30:00Z,2024-01-01T09:00:00Z,2024-01-01,19,12554
2023-12-31T22:30:00Z,2024-01-01T10:00:00Z,2024-01-01,21,12066
2023-12-31T22:30:00Z,2024-01-01T11:00:00Z,2024-01-01,23,11458
2023-12-31T22:30:00Z,2024-01-01T12:00:00Z,2024-01-01,25,10784
2023-12-31T22:30:00Z,2024-01-01T13:00:00Z,2024-01-01,27,9595
2023-12-31T22:30:00Z,2024-01-01T14:00:00Z,2024-01-01,29,8393
2023-12-31T22:30:00Z,2024-01-01T15:00:00Z,2024-01-01,31,7274
2023-12-31T22:30:00Z,2024-01-01T16:00:00Z,2024-01-01,33,6502
2023-12-31T22:30:00Z,2024-01-01T17:00:00Z,2024-01-01,35,6067
2023-12-31T22:30:00Z,2024-01-01T18:00:00Z,2024-01-01,37,5956
2023-12-31T22:30:00Z,2024-01-01T19:00:00Z,2024-01-01,39,6668
2023-12-31T22:30:00Z,2024-01-01T20:00:00Z,2024-01-01,41,7438
2024-01-01T22:30:00Z,2024-01-01T21:00:00Z,2024-01-01,43,11736
2024-01-01T22:30:00Z,2024-01-01T22:00:00Z,2024-01-01,45,13128
2024-01-01T22:30:00Z,2024-01-01T23:00:00Z,2024-01-01,47,14426
2024-01-01T22:30:00Z,2024-01-02T00:00:00Z,2024-01-02,1,15364
2024-01-01T22:30:00Z,2024-01-02T01:00:00Z,2024-01-02,3,15807
2024-01-01T22:30:00Z,2024-01-02T02:00:00Z,2024-01-02,5,15888
2024-01-01T22:30:00Z,2024-01-02T03:00:00Z,2024-01-02,7,15537
2024-01-01T22:30:00Z,2024-01-02T04:00:00Z,2024-01-02,9,15028
2024-01-01T22:30:00Z,2024-01-02T05:00:00Z,2024-01-02,11,14461
2024-01-01T22:30:00Z,2024-01-02T06:00:00Z,2024-01-02,13,14048
2024-01-01T22:30:00Z,2024-01-02T07:00:00Z,2024-01-02,15,13492
2024-01-01T22:30:00Z,2024-01-02T08:00:00Z,2024-01-02,17,12938
2024-01-01T22:30:00Z,2024-01-02T09:00:00Z,2024-01-02,19,12378
2024-01-01T22:30:00Z,2024-01-02T10:00:00Z,2024-01-02,21,11633
2024-01-01T22:30:00Z,2024-01-02T11:00:00Z,2024-01-02,23,10729
2024-01-01T22:30:00Z,2024-01-02T12:00:00Z,2024-01-02,25,9778
2024-01-01T22:30:00Z,2024-01-02T13:00:00Z,2024-01-02,27,9216
2024-01-01T22:30:00Z,2024-01-02T14:00:00Z,2024-01-02,29,8783
2024-01-01T22:30:00Z,2024-01-02T15:00:00Z,2024-01-02,31,8802
2024-01-01T22:30:00Z,2024-01-02T16:00:00Z,2024-01-02,33,8869
2024-01-01T22:30:00Z,2024-01-02T17:00:00Z,2024-01-02,35,9219
2024-01-01T22:30:00Z,2024-01-02T18:00:00Z,2024-01-02,37,9757
2024-01-01T22:30:00Z,2024-01-02T19:00:00Z,2024-01-02,39,10280
2024-01-01T22:30:00Z,2024-01-02T20:00:00Z,2024-01-02,41,11162
2024-01-02T22:30:00Z,2024-01-02T21:00:00Z,2024-01-02,43,12259
2024-01-02T22:30:00Z,2024-01-02T22:00:00Z,2024-01-02,45,12286
2024-01-02T22:30:00Z,2024-01-02T23:00:00Z,2024-01-02,47,12296
2024-01-02T22:30:00Z,2024-01-03T00:00:00Z,2024-01-03,1,12215
2024-01-02T22:30:00Z,2024-01-03T01:00:00Z,2024-01-03,3,11935
2024-01-02T22:30:00Z,2024-01-03T02:00:00Z,2024-01-03,5,11736
2024-01-02T22:30:00Z,2024-01-03T03:00:00Z,2024-01-03,7,11588
2024-01-02T22:30:00Z,2024-01-03T04:00:00Z,2024-01-03,9,11286
2024-01-02T22:30:00Z,2024-01-03T05:00:00Z,2024-01-03,11,10886
2024-01-02T22:30:00Z,2024-01-03T06:00:00Z,2024-01-03,13,10514
2024-01-02T22:30:00Z,2024-01-03T07:00:00Z,2024-01-03,15,10167
2024-01-02T22:30:00Z,2024-01-03T08:00:00Z,2024-01-03,17,9874
2024-01-02T22:30:00Z,2024-01-03T09:00:00Z,2024-01-03,19,9633
2024-01-02T22:30:00Z,2024-01-03T10:00:00Z,2024-01-03,21,9503
2024-01-02T22:30:00Z,2024-01-03T11:00:00Z,2024-01-03,23,9232
2024-01-02T22:30:00Z,2024-01-03T12:00:00Z,2024-01-03,25,8866
2024-01-02T22:30:00Z,2024-01-03T13:00:00Z,2024-01-03,27,8791
2024-01-02T22:30:00Z,2024-01-03T14:00:00Z,2024-01-03,29,8357
2024-01-02T22:30:00Z,2024-01-03T15:00:00Z,2024-01-03,31,8359
2024-01-02T22:30:00Z,2024-01-03T16:00:00Z,2024-01-03,33,8699
2024-01-02T22:30:00Z,2024-01-03T17:00:00Z,2024-01-03,35,9085
2024-01-02T22:30:00Z,2024-01-03T18:00:00Z,2024-01-03,37,9393
2024-01-02T22:30:00Z,2024-01-03T19:00:00Z,2024-01-03,39,9885
2024-01-02T22:30:00Z,2024-01-03T20:00:00Z,2024-01-03,41,10276
2024-01-03T22:30:00Z,2024-01-03T21:00:00Z,2024-01-03,43,8611
2024-01-03T22:30:00Z,2024-01-03T22:00:00Z,2024-01-03,45,8851
2024-01-03T22:30:00Z,2024-01-03T23:00:00Z,2024-01-03,47,8926
2024-01-03T22:30:00Z,2024-01-04T00:00:00Z,2024-01-04,1,9132
2024-01-03T22:30:00Z,2024-01-04T01:00:00Z,2024-01-04,3,9115
2024-01-03T22:30:00Z,2024-01-04T02:00:00Z,2024-01-04,5,9084
2024-01-03T22:30:00Z,2024-01-04T03:00:00Z,2024-01-04,7,9120
2024-01-03T22:30:00Z,2024-01-04T04:00:00Z,2024-01-04,9,9018
2024-01-03T22:30:00Z,2024-01-04T05:00:00Z,2024-01-04,11,8681
2024-01-03T22:30:00Z,2024-01-04T06:00:00Z,2024-01-04,13,8315
2024-01-03T22:30:00Z,2024-01-04T07:00:00Z,2024-01-04,15,7889
2024-01-03T22:30:00Z,2024-01-04T08:00:00Z,2024-01-04,17,7355
2024-01-03T22:30:00Z,2024-01-04T09:00:00Z,2024-01-04,19,7021
2024-01-03T22:30:00Z,2024-01-04T10:00:00Z,2024-01-04,21,6550
2024-01-03T22:30:00Z,2024-01-04T11:00:00Z,2024-01-04,23,5940
2024-01-03T22:30:00Z,2024-01-04T12:00:00Z,2024-01-04,25,5088
2024-01-03T22:30:00Z,2024-01-04T13:00:00Z,2024-01-04,27,4194
2024-01-03T22:30:00Z,2024-01-04T14:00:00Z,2024-01-04,29,3572
2024-01-03T22:30:00Z,2024-01-04T15:00:00Z,2024-01-04,31,3131
2024-01-03T22:30:00Z,2024-01-04T16:00:00Z,2024-01-04,33,2973
2024-01-03T22:30:00Z,2024-01-04T17:00:00Z,2024-01-04,35,3003
2024-01-03T22:30:00Z,2024-01-04T18:00:00Z,2024-01-04,37,3177
2024-01-03T22:30:00Z,2024-01-04T19:00:00Z,2024-01-04,39,3286
2024-01-03T22:30:00Z,2024-01-04T20:00:00Z,2024-01-04,41,3392
2024-01-04T22:30:00Z,2024-01-04T21:00:00Z,2024-01-04,43,5101
2024-01-04T22:30:00Z,2024-01-04T22:00:00Z,2024-01-04,45,5518
2024-01-04T22:30:00Z,2024-01-04T23:00:00Z,2024-01-04,47,6232
2024-01-04T22:30:00Z,2024-01-05T00:00:00Z,2024-01-05,1,6947
2024-01-04T22:30:00Z,2024-01-05T01:00:00Z,2024-01-05,3,7543
2024-01-04T22:30:00Z,2024-01-05T02:00:00Z,2024-01-05,5,7703
2024-01-04T22:30:00Z,2024-01-05T03:00:00Z,2024-01-05,7,7889
2024-01-04T22:30:00Z,2024-01-05T04:00:00Z,2024-01-05,9,7904
2024-01-04T22:30:00Z,2024-01-05T05:00:00Z,2024-01-05,11,7782
2024-01-04T22:30:00Z,2024-01-05T06:00:00Z,2024-01-05,13,8101
2024-01-04T22:30:00Z,2024-01-05T07:00:00Z,2024-01-05,15,8211
2024-01-04T22:30:00Z,2024-01-05T08:00:00Z,2024-01-05,17,8260
2024-01-04T22:30:00Z,2024-01-05T09:00:00Z,2024-01-05,19,8396
2024-01-04T22:30:00Z,2024-01-05T10:00:00Z,2024-01-05,21,8436
2024-01-04T22:30:00Z,2024-01-05T11:00:00Z,2024-01-05,23,8360
2024-01-04T22:30:00Z,2024-01-05T12:00:00Z,2024-01-05,25,8255
2024-01-04T22:30:00Z,2024-01-05T13:00:00Z,2024-01-05,27,8198
2024-01-04T22:30:00Z,2024-01-05T14:00:00Z,2024-01-05,29,8250
2024-01-04T22:30:00Z,2024-01-05T15:00:00Z,2024-01-05,31,8108
2024-01-04T22:30:00Z,2024-01-05T16:00:00Z,2024-01-05,33,7820
2024-01-04T22:30:00Z,2024-01-05T17:00:00Z,2024-01-05,35,7960
2024-01-04T22:30:00Z,2024-01-05T18:00:00Z,2024-01-05,37,7929
2024-01-04T22:30:00Z,2024-01-05T19:00:00Z,2024-01-05,39,7645
2024-01-04T22:30:00Z,2024-01-05T20:00:00Z,2024-01-05,41,7534
2024-01-05T22:30:00Z,2024-01-05T21:00:00Z,2024-01-05,43,6855
2024-01-05T22:30:00Z,2024-01-05T22:00:00Z,2024-01-05,45,6654
2024-01-05T22:30:00Z,2024-01-05T23:00:00Z,2024-01-05,47,6570
2024-01-05T22:30:00Z,2024-01-06T00:00:00Z,2024-01-06,1,6590
2024-01-05T22:30:00Z,2024-01-06T01:00:00Z,2024-01-06,3,6373
2024-01-05T22:30:00Z,2024-01-06T02:00:00Z,2024-01-06,5,6575
2024-01-05T22:30:00Z,2024-01-06T03:00:00Z,2024-01-06,7,6457
2024-01-05T22:30:00Z,2024-01-06T04:00:00Z,2024-01-06,9,6410
2024-01-05T22:30:00Z,2024-01-06T05:00:00Z,2024-01-06,11,6524
2024-01-05T22:30:00Z,2024-01-06T06:00:00Z,2024-01-06,13,6631
2024-01-05T22:30:00Z,2024-01-06T07:00:00Z,2024-01-06,15,6390
2024-01-05T22:30:00Z,2024-01-06T08:00:00Z,2024-01-06,17,6442
2024-01-05T22:30:00Z,2024-01-06T09:00:00Z,2024-01-06,19,6517
2024-01-05T22:30:00Z,2024-01-06T10:00:00Z,2024-01-06,21,6359
2024-01-05T22:30:00Z,2024-01-06T11:00:00Z,2024-01-06,23,6332
2024-01-05T22:30:00Z,2024-01-06T12:00:00Z,2024-01-06,25,6235
2024-01-05T22:30:00Z,2024-01-06T13:00:00Z,2024-01-06,27,6463
2024-01-05T22:30:00Z,2024-01-06T14:00:00Z,2024-01-06,29,6627
2024-01-05T22:30:00Z,2024-01-06T15:00:00Z,2024-01-06,31,6747
2024-01-05T22:30:00Z,2024-01-06T16:00:00Z,2024-01-06,33,6772
2024-01-05T22:30:00Z,2024-01-06T17:00:00Z,2024-01-06,35,6830
2024-01-05T22:30:00Z,2024-01-06T18:00:00Z,2024-01-06,37,6815
2024-01-05T22:30:00Z,2024-01-06T19:00:00Z,2024-01-06,39,6594
2024-01-05T22:30:00Z,2024-01-06T20:00:00Z,2024-01-06,41,6488
2024-01-06T22:30:00Z,2024-01-06T21:00:00Z,2024-01-06,43,5909
2024-01-06T22:30:00Z,2024-01-06T22:00:00Z,2024-01-06,45,5996
2024-01-06T22:30:00Z,2024-01-06T23:00:00Z,2024-01-06,47,6149
2024-01-06T22:30:00Z,2024-01-07T00:00:00Z,2024-01-07,1,6235
2024-01-06T22:30:00Z,2024-01-07T01:00:00Z,2024-01-07,3,6292
2024-01-06T22:30:00Z,2024-01-07T02:00:00Z,2024-01-07,5,6311
2024-01-06T22:30:00Z,2024-01-07T03:00:00Z,2024-01-07,7,6274
2024-01-06T22:30:00Z,2024-01-07T04:00:00Z,2024-01-07,9,6360
2024-01-06T22:30:00Z,2024-01-07T05:00:00Z,2024-01-07,11,6321
2024-01-06T22:30:00Z,2024-01-07T06:00:00Z,2024-01-07,13,6166
2024-01-06T22:30:00Z,2024-01-07T07:00:00Z,2024-01-07,15,6022
2024-01-06T22:30:00Z,2024-01-07T08:00:00Z,2024-01-07,17,5766
2024-01-06T22:30:00Z,2024-01-07T09:00:00Z,2024-01-07,19,5570
2024-01-06T22:30:00Z,2024-01-07T10:00:00Z,2024-01-07,21,5275
2024-01-06T22:30:00Z,2024-01-07T11:00:00Z,2024-01-07,23,4899
2024-01-06T22:30:00Z,2024-01-07T12:00:00Z,2024-01-07,25,4657
2024-01-06T22:30:00Z,2024-01-07T13:00:00Z,2024-01-07,27,4556
2024-01-06T22:30:00Z,2024-01-07T14:00:00Z,2024-01-07,29,4474
2024-01-06T22:30:00Z,2024-01-07T15:00:00Z,2024-01-07,31,4459
2024-01-06T22:30:00Z,2024-01-07T16:00:00Z,2024-01-07,33,4471
2024-01-06T22:30:00Z,2024-01-07T17:00:00Z,2024-01-07,35,4456
2024-01-06T22:30:00Z,2024-01-07T18:00:00Z,2024-01-07,37,4535
2024-01-06T22:30:00Z,2024-01-07T19:00:00Z,2024-01-07,39,4545
2024-01-06T22:30:00Z,2024-01-07T20:00:00Z,2024-01-07,41,4591
2024-01-07T22:30:00Z,2024-01-07T21:00:00Z,2024-01-07,43,4162
2024-01-07T22:30:00Z,2024-01-07T22:00:00Z,2024-01-07,45,4098
2024-01-07T22:30:00Z,2024-01-07T23:00:00Z,2024-01-07,47,4245
2024-01-07T22:30:00Z,2024-01-08T00:00:00Z,2024-01-08,1,4578
2024-01-07T22:30:00Z,2024-01-08T01:00:00Z,2024-01-08,3,4805
2024-01-07T22:30:00Z,2024-01-08T02:00:00Z,2024-01-08,5,5087
2024-01-07T22:30:00Z,2024-01-08T03:00:00Z,2024-01-08,7,5479
2024-01-07T22:30:00Z,2024-01-08T04:00:00Z,2024-01-08,9,5772
2024-01-07T22:30:00Z,2024-01-08T05:00:00Z,2024-01-08,11,6485
2024-01-07T22:30:00Z,2024-01-08T06:00:00Z,2024-01-08,13,6950
2024-01-07T22:30:00Z,2024-01-08T07:00:00Z,2024-01-08,15,7285
2024-01-07T22:30:00Z,2024-01-08T08:00:00Z,2024-01-08,17,7963
2024-01-07T22:30:00Z,2024-01-08T09:00:00Z,2024-01-08,19,8404
2024-01-07T22:30:00Z,2024-01-08T10:00:00Z,2024-01-08,21,8785
2024-01-07T22:30:00Z,2024-01-08T11:00:00Z,2024-01-08,23,8648
2024-01-07T22:30:00Z,2024-01-08T12:00:00Z,2024-01-08,25,8523
2024-01-07T22:30:00Z,2024-01-08T13:00:00Z,2024-01-08,27,8343
2024-01-07T22:30:00Z,2024-01-08T14:00:00Z,2024-01-08,29,8453
2024-01-07T22:30:00Z,2024-01-08T15:00:00Z,2024-01-08,31,8635
2024-01-07T22:30:00Z,2024-01-08T16:00:00Z,2024-01-08,33,8913
2024-01-07T22:30:00Z,2024-01-08T17:00:00Z,2024-01-08,35,9307
2024-01-07T22:30:00Z,2024-01-08T18:00:00Z,2024-01-08,37,9573
2024-01-07T22:30:00Z,2024-01-08T19:00:00Z,2024-01-08,39,9627
2024-01-07T22:30:00Z,2024-01-08T20:00:00Z,2024-01-08,41,9492
2024-01-08T22:30:00Z,2024-01-08T21:00:00Z,2024-01-08,43,10272
2024-01-08T22:30:00Z,2024-01-08T22:00:00Z,2024-01-08,45,10121
2024-01-08T22:30:00Z,2024-01-08T23:00:00Z,2024-01-08,47,9958
2024-01-08T22:30:00Z,2024-01-09T00:00:00Z,2024-01-09,1,9836
2024-01-08T22:30:00Z,2024-01-09T01:00:00Z,2024-01-09,3,9619
2024-01-08T22:30:00Z,2024-01-09T02:00:00Z,2024-01-09,5,9367
2024-01-08T22:30:00Z,2024-01-09T03:00:00Z,2024-01-09,7,9084
2024-01-08T22:30:00Z,2024-01-09T04:00:00Z,2024-01-09,9,8813
2024-01-08T22:30:00Z,2024-01-09T05:00:00Z,2024-01-09,11,8865
2024-01-08T22:30:00Z,2024-01-09T06:00:00Z,2024-01-09,13,9049
2024-01-08T22:30:00Z,2024-01-09T07:00:00Z,2024-01-09,15,9181
2024-01-08T22:30:00Z,2024-01-09T08:00:00Z,2024-01-09,17,9330
2024-01-08T22:30:00Z,2024-01-09T09:00:00Z,2024-01-09,19,9425
2024-01-08T22:30:00Z,2024-01-09T10:00:00Z,2024-01-09,21,9495
2024-01-08T22:30:00Z,2024-01-09T11:00:00Z,2024-01-09,23,9371
2024-01-08T22:30:00Z,2024-01-09T12:00:00Z,2024-01-09,25,9182
2024-01-08T22:30:00Z,2024-01-09T13:00:00Z,2024-01-09,27,9130
2024-01-08T22:30:00Z,2024-01-09T14:00:00Z,2024-01-09,29,9037
2024-01-08T22:30:00Z,2024-01-09T15:00:00Z,2024-01-09,31,8963
2024-01-08T22:30:00Z,2024-01-09T16:00:00Z,2024-01-09,33,9115
2024-01-08T22:30:00Z,2024-01-09T17:00:00Z,2024-01-09,35,9363
2024-01-08T22:30:00Z,2024-01-09T18:00:00Z,2024-01-09,37,9325
2024-01-08T22:30:00Z,2024-01-09T19:00:00Z,2024-01-09,39,9033
2024-01-08T22:30:00Z,2024-01-09T20:00:00Z,2024-01-09,41,8697
2024-01-09T22:30:00Z,2024-01-09T21:00:00Z,2024-01-09,43,8836
2024-01-09T22:30:00Z,2024-01-09T22:00:00Z,2024-01-09,45,8340
2024-01-09T22:30:00Z,2024-01-09T23:00:00Z,2024-01-09,47,7946
2024-01-09T22:30:00Z,2024-01-10T00:00:00Z,2024-01-10,1,7616
2024-01-09T22:30:00Z,2024-01-10T01:00:00Z,2024-01-10,3,7455
2024-01-09T22:30:00Z,2024-01-10T02:00:00Z,2024-01-10,5,7198
2024-01-09T22:30:00Z,2024-01-10T03:00:00Z,2024-01-10,7,6887
2024-01-09T22:30:00Z,2024-01-10T04:00:00Z,2024-01-10,9,6723
2024-01-09T22:30:00Z,2024-01-10T05:00:00Z,2024-01-10,11,6735
2024-01-09T22:30:00Z,2024-01-10T06:00:00Z,2024-01-10,13,6844
2024-01-09T22:30:00Z,2024-01-10T07:00:00Z,2024-01-10,15,6720
2024-01-09T22:30:00Z,2024-01-10T08:00:00Z,2024-01-10,17,6617
2024-01-09T22:30:00Z,2024-01-10T09:00:00Z,2024-01-10,19,6505
2024-01-09T22:30:00Z,2024-01-10T10:00:00Z,2024-01-10,21,6350
2024-01-09T22:30:00Z,2024-01-10T11:00:00Z,2024-01-10,23,6263
2024-01-09T22:30:00Z,2024-01-10T12:00:00Z,2024-01-10,25,6348
2024-01-09T22:30:00Z,2024-01-10T13:00:00Z,2024-01-10,27,6531
2024-01-09T22:30:00Z,2024-01-10T14:00:00Z,2024-01-10,29,6811
2024-01-09T22:30:00Z,2024-01-10T15:00:00Z,2024-01-10,31,7106
2024-01-09T22:30:00Z,2024-01-10T16:00:00Z,2024-01-10,33,7446
2024-01-09T22:30:00Z,2024-01-10T17:00:00Z,2024-01-10,35,7590
2024-01-09T22:30:00Z,2024-01-10T18:00:00Z,2024-01-10,37,7625
2024-01-09T22:30:00Z,2024-01-10T19:00:00Z,2024-01-10,39,7257
2024-01-09T22:30:00Z,2024-01-10T20:00:00Z,2024-01-10,41,6790
2024-01-10T22:30:00Z,2024-01-10T21:00:00Z,2024-01-10,43,6860
2024-01-10T22:30:00Z,2024-01-10T22:00:00Z,2024-01-10,45,6126
2024-01-10T22:30:00Z,2024-01-10T23:00:00Z,2024-01-10,47,5462
2024-01-10T22:30:00Z,2024-01-11T00:00:00Z,2024-01-11,1,5046
2024-01-10T22:30:00Z,2024-01-11T01:00:00Z,2024-01-11,3,4691
2024-01-10T22:30:00Z,2024-01-11T02:00:00Z,2024-01-11,5,4486
2024-01-10T22:30:00Z,2024-01-11T03:00:00Z,2024-01-11,7,4290
2024-01-10T22:30:00Z,2024-01-11T04:00:00Z,2024-01-11,9,4274
2024-01-10T22:30:00Z,2024-01-11T05:00:00Z,2024-01-11,11,4384
2024-01-10T22:30:00Z,2024-01-11T06:00:00Z,2024-01-11,13,4492
2024-01-10T22:30:00Z,2024-01-11T07:00:00Z,2024-01-11,15,4498
